13	44
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pctSP8Rag-	pctSP4Rag-	pctTconvRag-	pctTRegP1Rag-	pctTRegP2Rag-	pctTregRag-	pcsTconv	pcsTreg	pcsCD8	pcsBcells	pcsTconvRag-	pcsTregRag-	pcsCD8Rag-	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	tSP8Rag-	tSP4Rag-	tTconvRag-	tTRegP1Rag-	tTRegP2Rag-	tTregRag-	stotal	sTconv	sTreg	sCD8	sBcells	sTconvRag-	sTregRag-	sCD8Rag-
0	4.618	80.94	3.452	10.458	95.4	0.31	2.21	2.222	10.376	5.64	4.674	7.862	20.4	29.78	21.35985095	3.01377945	13.6113625	50.35555556	44.36666667	75.67777778	57.72222222	83065200	4007263.886	67168931.81	2870602.137	8711056.644	8295669.941	27498.87844	198950.9809	200694.5065	317653.5367	507314.154	394827.2848	2260.771263	43075.37102	67745.06888	53775625	11486393.35	1620678.735	7319595.254	27111597.24	4836253.766	1216663.507	4048981.818
2	5.354	75.18	4.642	14.42	96.14	0.472	1.854	2.076	6.85	5.55	4.546	3.594	20.54	38.94	21.74020724	2.803708415	15.75567836	50.2	35.48	69.04	52.64	79751200	3966736.68	61161024.52	3440559.559	10912532.8	10489713.69	48673.96939	205043.4747	227431.0917	238046.8252	625414.9129	490198.4183	1721.207739	43706.96869	92140.91394	46820400	10178851.99	1312707.495	7376871.633	24030124.56	3664960.611	910162.7417	3906892.416
4	6.1	74.22	4.574	14.68	96.64	0.584	1.664	1.698	7.122	6.312	5.448	7.272	21.94	39.6	19.29806615	2.829818328	13.30979673	55.18	36.68	68.92	50.02	63471000	3692626.808	48216273.31	2685479.193	8661144.952	8369297.711	53543.60225	144134.4483	148652.7061	186660.1536	538208.8783	447333.7329	2913.926555	31887.96148	58979.34036	43618200	8417469.088	1234315.818	5805493.756	24114744.78	3087717.029	853987.5976	2911343.572
5	4.105	82.05	3.6025	9.9525	95.75	0.9225	2.025	2.4075	5.375	5.9375	4.8075	6.145	20.925	37.85	18.25337361	2.404130067	14.13495511	55.425	35.75	74.125	51.375	82210285.71	6280171.482	62616633.12	3902923.839	9160719.094	8576105.152	57514.92088	243146.6823	342767.152	975224.2687	1166953.644	895374.3611	6171.080853	86331.16279	183655.7462	44190750	8066302.697	1062403.107	6246342.675	23794965.62	3015686.195	780654.5417	3335582.077
6	7.542	77.38	3.6	11.054	95.98	0.504	1.854	2.272	9.754	10.542	9.382	7.512	23.54	48.52	16.64611353	2.510481442	14.20543202	55.6375	41.95	74.9	55.95	58476375	5743910.754	42511413.69	2765284.604	7238674.432	6846014.615	36320.35455	166592.0233	226564.4209	637379.0741	1061437.201	883592.6633	5490.155504	59864.94784	117675.3203	37921125	6312393.519	952002.8058	5386859.633	21022296.89	2704280.088	717664.7532	3080681.48
7	4.908333333	77.3	4.218333333	13.18166667	95.96666667	0.676666667	1.861666667	2.255	5.035	5.795	4.953333333	3.705	16.64333333	34.88333333	16.99160692	2.822967552	12.17983203	59.61666667	43.8	73.06666667	48.95	62151666.67	4054282.589	47151867.59	2766753.638	7676036.242	7274245.742	45359.45913	164764.2399	238346.1177	492391.6526	788501.5826	617645.499	4318.317983	51756.99788	118536.9579	74538000	12665203.96	2104183.554	9078603.202	44511130.73	5512644.834	1529295.188	4442888.154
8	7.38	67.66666667	6.115	18.33333333	95.15	0.565	2.008333333	2.883333333	7.626666667	8.525	7.01	6.406666667	25.4	45.9	19.08581642	2.932963163	14.05101074	52.81666667	50.61666667	80.83333333	59.31666667	42387000	3055335.932	30070430.94	2260534.559	6807965.477	6496585.454	39464.88148	132446.656	181254.1546	173977.7457	581593.391	465013.5604	2572.619643	32603.86225	83879.42111	55007500	10498630.47	1613349.712	7729109.733	29497859.55	5373772.761	1310941.535	4607045.786
9	7.801428571	39.2	12.64285714	39.52857143	94.27142857	0.698571429	2.861428571	3.078571429	10.35857143	7.36	5.697142857	7.164285714	20.6	42.94285714	18.3282172	2.825509321	13.18299134	52.41111111	54.33333333	81.31111111	66.08888889	19320428.57	1472915.038	10897267.26	1583801.433	5206146.879	4933360.686	34241.52463	138849.973	144509.277	155974.5594	387828.1934	298930.2772	2054.126678	27762.49064	61960.99885	65336333.33	11974985.09	1846084.188	8613283.166	34728988.8	6518782.059	1513655.714	5685625.188
10	20.71666667	27.69777778	16.97666667	34.12222222	91.37777778	0.431111111	3.342222222	5.276666667	60.74444444	25.92444444	23.61666667	45.92222222	41.82222222	59.14444444	18.63824743	3.137248269	13.35867857	54.17777778	53.85555556	79.92222222	66.06666667	7901000	1594780.255	2427652.546	1257623.928	2584708.381	2363865.265	13742.05817	89488.22319	129684.1869	853481.5937	652427.8721	537762.4581	7207.726271	38954.14432	82112.60925	56428666.67	10517314.52	1770307.368	7538124.203	30659873.8	5693781.262	1438660.365	4999571.79
11	8.535	65.65	6.77	18.75	94.43333333	0.41	2.665	2.955	12.49166667	10.96166667	9.743333333	7.843333333	23.86333333	36.63333333	20.22858256	2.91777467	14.35439887	51.62857143	50.77142857	79.14285714	63.54285714	32765000	2577056.649	23107146.92	1845894.466	5136587.986	4856938.479	21830.13032	135140.5235	147383.506	275985.3847	556545.3324	462615.4891	2034.741142	35236.87851	59173.28938	64112142.86	12968977.75	1870647.864	9202912.711	33182690.11	6576401.213	1476346.683	5816402.225
