13	44
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pctSP8Rag-	pctSP4Rag-	pctTconvRag-	pctTRegP1Rag-	pctTRegP2Rag-	pctTregRag-	pcsTconv	pcsTreg	pcsCD8	pcsBcells	pcsTconvRag-	pcsTregRag-	pcsCD8Rag-	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	tSP8Rag-	tSP4Rag-	tTconvRag-	tTRegP1Rag-	tTRegP2Rag-	tTregRag-	stotal	sTconv	sTreg	sCD8	sBcells	sTconvRag-	sTregRag-	sCD8Rag-
0	2.262668778	3.480373543	0.516981624	1.347004083	1.079351657	0.056124861	0.309273342	0.962377265	4.872384427	1.554107461	0.946535789	3.089501578	9.602864156	9.856825047	5.098091816	1.16134229	3.18972798	8.588234846	9.248378236	6.826195459	9.463981427	22.95655726	2.89597868	17.66230158	0.89774539	2.661534049	2.478851118	0.010721509	0.084696227	0.129022157	0.217113167	0.262986948	0.16568732	0.001344013	0.035863496	0.06984218	14.22701792	2.741530737	0.624519075	1.715296157	10.0678603	1.448399772	0.520304298	1.118800245
2	1.03914869	3.680624947	0.790613686	1.86601179	0.378153408	0.114978259	0.127593103	0.437812745	1.533900258	1.070397123	0.837931978	1.236903392	4.496998999	5.114000391	8.936897466	1.354780588	6.14738809	7.199652769	4.042523964	3.241604541	4.674719243	41.23106925	1.642016921	33.39373432	1.39264544	4.782948812	4.593453719	0.019440589	0.098501301	0.112680227	0.116686679	0.322170785	0.248357368	0.00081098	0.024092675	0.050446889	19.15969963	4.184291141	0.63431369	2.878231693	11.32916652	1.655400894	0.456663048	1.634574279
4	1.133953262	4.887944353	0.978074639	2.954149624	0.250998008	0.187296556	0.145705182	0.216494804	1.21582071	0.689434551	0.782860141	5.050056435	2.892749557	4.234973436	5.747400648	1.058244623	5.100736006	5.314790683	5.314320276	5.117812032	4.759936974	31.26341706	1.541667281	26.11040096	0.847143178	2.822604468	2.725489562	0.030393935	0.047707401	0.056180259	0.048004112	0.147464324	0.120847916	0.000607995	0.012773231	0.022218897	12.0717114	2.506912709	0.461587256	2.224849233	7.240677742	1.075375722	0.333685556	1.178080219
5	0.692459385	1.46628783	0.405493526	0.592135964	0.36968455	0.748659914	0.150886271	0.285584197	1.388632421	0.733638194	0.530557882	5.918228902	4.789137013	6.555659133	10.30060485	0.951979815	7.084024195	6.883978985	5.688878038	3.58178261	6.768246942	18.79313373	4.443014325	17.06123611	1.372326971	2.167865055	1.944084235	0.054436454	0.112888304	0.197934368	1.079002485	0.92662997	0.709187271	0.005159913	0.070467924	0.145797609	16.41824845	4.55191454	0.42068702	3.130483422	7.339289029	1.76574981	0.292613703	1.873346616
6	2.129300355	4.30313839	0.748498497	1.573874201	0.641872261	0.234584739	0.232658548	0.479134637	4.188839935	4.065970979	4.450608947	5.139111791	2.807668072	4.623526792	6.642031979	0.718986782	5.506995527	5.956254216	6.76609193	4.795831523	5.431390246	23.97643015	3.536230825	19.85211372	1.318771244	2.822800201	2.699960654	0.032941301	0.084996798	0.141700156	0.779609405	0.8225906	0.698592741	0.005847202	0.05973324	0.093884162	12.84158731	2.518733249	0.272647876	2.088314658	6.686840626	1.348483011	0.219349922	1.439491334
7	0.852371202	5.876393452	1.241022428	4.60560709	0.7393691	0.128944432	0.206534904	0.529443104	2.741019883	2.183380407	1.971736967	2.061977206	8.885542565	15.01125134	2.893611968	0.694531498	1.558683284	3.599675911	6.714462004	5.36718424	8.383495691	19.73784539	2.835249749	18.37147245	1.235634215	1.871382494	1.723341879	0.020151245	0.075367312	0.162526072	0.987052959	0.941543126	0.730628377	0.006235652	0.07002506	0.142767763	11.15005638	2.156840489	0.517689888	1.161811346	8.065087953	1.072417569	0.36771592	0.925156556
8	1.678749535	7.701861247	1.822764384	5.327913913	1.130928822	0.062209324	0.374348323	0.95326107	1.181129403	1.022130129	1.190008403	1.648401246	6.95959769	7.648790754	5.369172917	1.099513704	3.507228954	4.223939709	3.584085192	2.289687024	2.49593002	22.53669048	1.708255491	18.16428896	0.726086559	2.194395246	2.147910935	0.016352207	0.035657229	0.032312687	0.069868921	0.203441605	0.186536435	0.001378237	0.009861242	0.022749192	18.77768971	2.953447792	0.604815001	1.929238967	11.47768025	1.770520982	0.501295288	1.245285103
9	1.384478585	24.18925381	6.438671484	18.39372305	2.304137066	0.324521626	0.779688583	1.609797384	2.849879697	1.427795504	1.649906202	3.424027147	6.271629241	7.977856258	5.340284616	1.345557056	4.566121213	5.168279318	2.545584412	3.3568752	2.063640257	17.43573963	1.251795331	13.35786546	0.661647066	2.577695363	2.512497174	0.018370077	0.051712944	0.080523287	0.059806926	0.222816814	0.212759467	0.000764934	0.010496854	0.035568122	22.48588636	3.489146158	0.879137644	2.983336176	13.84487557	2.005505589	0.74796273	1.961832258
10	14.24751031	28.00210563	8.410017836	14.63965315	2.759428282	0.263507326	0.896531898	2.213447537	28.63555967	18.57113763	17.72300765	21.63589481	21.47846467	17.39311007	3.114921489	1.081110676	2.987202882	2.848586394	3.933862959	4.855352144	3.776241518	4.39464316	1.384378838	2.927460935	0.823510454	1.659208912	1.544267307	0.015612112	0.062554036	0.085374819	0.667160012	0.589831229	0.486866085	0.008122791	0.037508456	0.069121543	13.52689954	1.757708664	0.61005634	1.685638757	8.080186571	1.172631991	0.551987956	1.201235401
11	4.847224979	13.94930106	3.113730881	8.326043478	1.116542282	0.153883072	0.428800653	0.73956068	17.17376885	11.17782343	10.46733904	8.648853489	19.51793193	20.14414721	2.959061979	0.594699077	1.470796216	2.156937865	4.715122581	2.788582162	4.792653108	16.46583638	1.497296741	14.71321421	0.488756141	1.191378637	1.165088231	0.009473486	0.028272835	0.032341487	0.427883406	0.532313478	0.459345459	0.002459805	0.032783889	0.0451	8.56358337	1.897118043	0.381274322	0.942958971	5.252611897	1.114178594	0.284446204	0.337089429
