10	4
time	ProDN1Potritt	ProDN2Potritt	ProDN3Potritt	ProDN4Potritt
7	81.28513	4.9803963	9.799659	4.016052
8	71.473175	9.144544	17.979612	2.2364428
9	74.19204	15.397038	8.650071	1.7424622
10	64.7021	14.581774	16.0278	4.300927
11	35.613094	17.299404	41.39621	5.413121
12	14.396531	25.159304	56.805546	1.8662033
14	8.909854	20.315687	63.688557	6.0180507
15	7.7730594	9.861406	66.24653	16.769016
19	4.5107703	6.598871	68.12479	19.771769
20	1.9277049	4.497978	66.82686	26.666584
