14	46
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pctSP8Rag-	pctSP4Rag-	pctTconvRag-	pctTRegP1Rag-	pctTRegP2Rag-	pctTregRag-	pcsTconv	pcsTreg	pcsCD8	pcsBcells	pcsTconvRag-	pcsTregRag-	pcsCD8Rag-	sTregRag-	sCD8Rag-	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	tSP8Rag-	tSP4Rag-	tTconvRag-	tTRegP1Rag-	tTRegP2Rag-	tTregRag-	stotal	sTconv	sTreg	sCD8	sBcells	sTconvRag-	sTregRag-	sCD8Rag-
0	5.326666667	77.67777778	3.404444444	11.24444444	95.8	0.366666667	1.94	1.906666667	86.72555556	15.19222222	14.29222222	15.94666667	30.94444444	42.77777778	21.35985095	3.01377945	13.6113625	50.2	44.36666667	75.67777778	57.72222222	1.216663507	4.048981818	103.4738889	5.350005725	80.35082598	3.580991828	11.74258944	11.24012178	0.040804581	0.233417575	0.228245497	3.356918726	1.039045187	0.885026227	0.004064403	0.061913958	0.088040599	53.775625	11.48639335	1.620678735	7.319595254	27.11159724	4.836253766	1.216663507	4.048981818
2	4.998	73.8	4.536	14.32	95.6	0.468	2.1	1.844	6.894	5.502	4.496	3.744	22.04	38.96	21.74020724	2.803708415	15.75567836	55.18	35.48	69.04	52.64	0.910162742	3.906892416	79.7512	3.727453593	59.96471852	3.349630984	10.78697148	10.31086599	0.046812598	0.204053067	0.224984352	0.233708232	0.610196651	0.47409306	0.001719273	0.043378493	0.091005824	46.8204	10.17885199	1.312707495	7.376871633	24.03012456	3.664960611	0.910162742	3.906892416
4	5.872	73.04	4.452	14.34	96.08	0.562	1.68	1.684	7.146	6.1	5.222	6.702	21.96	39.86	19.29806615	2.829818328	13.30979673	55.425	36.68	68.92	50.02	0.853987598	2.911343572	63.471	3.52960296	47.45129652	2.603973454	8.456087694	8.119225939	0.050016932	0.142236903	0.144398298	0.182145084	0.509821074	0.417873117	0.002634369	0.03154584	0.057735546	43.6182	8.417469088	1.234315818	5.805493756	24.11474478	3.087717029	0.853987598	2.911343572
5	3.965	80.9	3.4875	9.625	94.7	0.8225	2.19	2.2725	5.4075	5.7475	4.6075	5.9075	21.725	38.125	18.25337361	2.404130067	14.13495511	55.6375	35.75	74.125	51.375	0.780654542	3.335582077	85.5705	3.333139329	69.22391793	2.979890643	8.274471956	7.838963033	0.064904566	0.172489864	0.198095815	0.156002777	0.468786244	0.355392876	0.002353329	0.036371112	0.074668928	44.19075	8.066302697	1.062403107	6.246342675	23.79496562	3.015686195	0.780654542	3.335582077
6	6.9775	73.9	4.1	12.51625	94.9375	0.5425	2.0175	2.5225	9.3075	8.5825	7.33	6.12375	22.6125	44.625	16.64611353	2.510481442	14.20543202	59.61666667	41.95	74.9	55.95	0.717664753	3.08068148	48.15	3.389238859	36.25989302	1.756020954	5.528152528	5.258702337	0.03219163	0.107903626	0.129284701	0.184393411	0.566187438	0.479475279	0.002670458	0.025004055	0.059037646	37.921125	6.312393519	0.952002806	5.386859633	21.02229689	2.704280088	0.717664753	3.08068148
7	4.426666667	75.61666667	3.985	12.89333333	95.28333333	0.653333333	2.136666667	1.953333333	5.146666667	5.685	4.855	3.555	17.95	34.6	16.99160692	2.822967552	12.17983203	52.81666667	43.8	73.06666667	48.95	1.529295188	4.442888154	66.0825	2.854654257	51.05278855	2.430732032	7.767430973	7.395164018	0.050942751	0.146915619	0.174180645	0.122964402	0.434007342	0.353510869	0.001821265	0.02261283	0.056031988	74.538	12.66520396	2.104183554	9.078603202	44.51113073	5.512644834	1.529295188	4.442888154
8	6.635	66.26666667	5.828333333	18.08333333	94.53333333	0.541666667	2.023333333	2.881666667	7.706666667	8.433333333	6.92	6.808333333	25.28333333	45.76666667	19.08581642	2.932963163	14.05101074	52.41111111	50.61666667	80.83333333	59.31666667	1.310941535	4.607045786	25.88333333	1.510111871	18.08525897	1.310245268	4.166867826	3.93454497	0.022323639	0.087175578	0.122729293	0.103734914	0.362454481	0.283805537	0.001523191	0.020762134	0.0563508	55.0075	10.49863047	1.613349712	7.729109733	29.49785955	5.373772761	1.310941535	4.607045786
9	6.89	38.09285714	12.18	39.32857143	93.35714286	0.688571429	3.235714286	2.688571429	10.53	7.334285714	5.657142857	7.134285714	20.84285714	45.5	18.3282172	2.825509321	13.18299134	54.17777778	54.33333333	81.31111111	66.08888889	1.513655714	5.685625188	19.32042857	1.286312618	10.6434749	1.48968221	5.150814466	4.836826414	0.033471393	0.137383723	0.142860553	0.150273036	0.382561234	0.291597417	0.001997015	0.027491679	0.061461517	65.33633333	11.97498509	1.846084188	8.613283166	34.7289888	6.518782059	1.513655714	5.685625188
10	20.19	27.16555556	16.74666667	33.63333333	90.97777778	0.413333333	3.351111111	5.274444444	60.82222222	25.77222222	23.11555556	45.8	41.88888889	59.41111111	18.63824743	3.137248269	13.35867857	51.3375	53.85555556	79.92222222	66.06666667	1.438660365	4.99957179	7.901	1.552290236	2.382237177	1.244095664	2.542886196	2.313090003	0.012756699	0.088623009	0.128329271	0.84591385	0.643083566	0.515659176	0.006674932	0.038844298	0.081867888	56.42866667	10.51731452	1.770307368	7.538124203	30.6598738	5.693781262	1.438660365	4.99957179
11	7.75	66.37142857	6.184285714	17.65714286	94.22857143	0.371428571	2.551428571	2.834285714	12.07142857	10.28714286	8.958571429	7.855714286	26.39428571	40.62857143	20.50619377	2.92531613	14.57674094	53.26	50.2875	78.2375	63.4375	1.430774284	5.758389753	43.07957143	2.961737778	31.02564213	2.064719646	6.175189533	5.84015727	0.022502117	0.14833926	0.164130834	0.279325051	0.591362932	0.470262129	0.002074814	0.04371788	0.075295355	62.559	12.82846976	1.830048518	9.119063363	32.21973685	6.44934774	1.430774284	5.758389753
